ал;епымуло;омола;йыдийос мпс;омола мпс;йыдийос ппс;омола ппс;бахлос
SR001062;епымуло 1062;омола 1062;ICE1-1006;жусийг;P1-1060;жусийг;3.5
SR001062;епымуло 1062;омола 1062;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR001062;епымуло 1062;омола 1062;ICE1-6006;ьгжиайес епийоимымиес;P1-5320;ьгжиайес епийоимымиес;6.2
SR001062;епымуло 1062;омола 1062;ICE1-7301;пяогцлемес дийтуайес тевмокоциес;P1-6320;пяогцлемес дийтуайес тевмокоциес;3.4
SR001063;епымуло 1063;омола 1063;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001063;епымуло 1063;омола 1063;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001063;епымуло 1063;омола 1063;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;1.1
SR001065;епымуло 1065;омола 1065;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;0.3
SR001066;епымуло 1066;омола 1066;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;8.5
SR001068;епымуло 1068;омола 1068;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;8.6
SR001068;епымуло 1068;омола 1068;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001068;епымуло 1068;омола 1068;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;10
SR001068;епымуло 1068;омола 1068;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;1.8
SR001068;епымуло 1068;омола 1068;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001068;епымуло 1068;омола 1068;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001068;епымуло 1068;омола 1068;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001070;епымуло 1070;омола 1070;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;4.9
SR001070;епымуло 1070;омола 1070;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001070;епымуло 1070;омола 1070;ICE1-1006;жусийг;P1-1060;жусийг;1.1
SR001070;епымуло 1070;омола 1070;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;0.3
SR001070;епымуло 1070;омола 1070;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR001070;епымуло 1070;омола 1070;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;1.1
SR001072;епымуло 1072;омола 1072;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001072;епымуло 1072;омола 1072;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR001073;епымуло 1073;омола 1073;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001073;епымуло 1073;омола 1073;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001073;епымуло 1073;омола 1073;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;7.5
SR001073;епымуло 1073;омола 1073;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;8.6
SR001073;епымуло 1073;омола 1073;ICE1-1006;жусийг;P1-1060;жусийг;1
SR001073;епымуло 1073;омола 1073;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001073;епымуло 1073;омола 1073;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;0.3
SR001073;епымуло 1073;омола 1073;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.5
SR001073;епымуло 1073;омола 1073;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;1.1
SR001074;епымуло 1074;омола 1074;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001074;епымуло 1074;омола 1074;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;3
SR001075;епымуло 1075;омола 1075;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;6.8
SR001075;епымуло 1075;омола 1075;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;0.3
SR001075;епымуло 1075;омола 1075;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;6.8
SR001075;епымуло 1075;омола 1075;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;9.3
SR001078;епымуло 1078;омола 1078;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;4.3
SR001078;епымуло 1078;омола 1078;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;2
SR001080;епымуло 1080;омола 1080;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;0.3
SR001080;епымуло 1080;омола 1080;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001080;епымуло 1080;омола 1080;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR001080;епымуло 1080;омола 1080;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;8.6
SR001081;епымуло 1081;омола 1081;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001081;епымуло 1081;омола 1081;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;8.6
SR001081;епымуло 1081;омола 1081;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001081;епымуло 1081;омола 1081;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.5
SR001081;епымуло 1081;омола 1081;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001084;епымуло 1084;омола 1084;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001085;епымуло 1085;омола 1085;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001085;епымуло 1085;омола 1085;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001085;епымуло 1085;омола 1085;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR001085;епымуло 1085;омола 1085;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR001085;епымуло 1085;омола 1085;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001085;епымуло 1085;омола 1085;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;2.4
SR001085;епымуло 1085;омола 1085;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;0.3
SR001085;епымуло 1085;омола 1085;ICE1-4001;басеис дедолемым и;P1-3030;басеис дедолемым и;0.3
SR001085;епымуло 1085;омола 1085;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;6.8
SR001085;епымуло 1085;омола 1085;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;6.2
SR001087;епымуло 1087;омола 1087;ICE1-7207;яолпотийг;P1-9255;яолпотийг;5.1
SR001088;епымуло 1088;омола 1088;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;8.6
SR001089;епымуло 1089;омола 1089;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001089;епымуло 1089;омола 1089;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001090;епымуло 1090;омола 1090;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;10
SR001090;епымуло 1090;омола 1090;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001092;епымуло 1092;омола 1092;ICE1-1006;жусийг;P1-1060;жусийг;3.4
SR001092;епымуло 1092;омола 1092;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;0.3
SR001092;епымуло 1092;омола 1092;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001092;епымуло 1092;омола 1092;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;3.4
SR001094;епымуло 1094;омола 1094;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;8.6
SR001094;епымуло 1094;омола 1094;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;6.8
SR001094;епымуло 1094;омола 1094;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;3.4
SR001096;епымуло 1096;омола 1096;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001096;епымуло 1096;омола 1096;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001096;епымуло 1096;омола 1096;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;1.1
SR001096;епымуло 1096;омола 1096;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR001096;епымуло 1096;омола 1096;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;7.5
SR001096;епымуло 1096;омола 1096;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001096;епымуло 1096;омола 1096;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;1.8
SR001096;епымуло 1096;омола 1096;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;7.5
SR001096;епымуло 1096;омола 1096;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;3.5
SR001097;епымуло 1097;омола 1097;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001097;епымуло 1097;омола 1097;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;3.5
SR001097;епымуло 1097;омола 1097;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;1.1
SR001098;епымуло 1098;омола 1098;ICE1-1006;жусийг;P1-1060;жусийг;9.4
SR001098;епымуло 1098;омола 1098;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;3.4
SR001098;епымуло 1098;омола 1098;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;0.3
SR001098;епымуло 1098;омола 1098;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;0.3
SR001098;епымуло 1098;омола 1098;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;6.8
SR001098;епымуло 1098;омола 1098;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;9.6
SR001102;епымуло 1102;омола 1102;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;1.8
SR001104;епымуло 1104;омола 1104;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;3.4
SR001104;епымуло 1104;омола 1104;ICE1-1006;жусийг;P1-1060;жусийг;1.6
SR001104;епымуло 1104;омола 1104;ICE1-3006;аявитейтомийг упокоцистым;P1-3060;аявитейтомийг упокоцистым;0.3
SR001104;епымуло 1104;омола 1104;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;1.1
SR001106;епымуло 1106;омола 1106;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001106;епымуло 1106;омола 1106;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001106;епымуло 1106;омола 1106;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001106;епымуло 1106;омола 1106;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR001106;епымуло 1106;омола 1106;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;7.8
SR001106;епымуло 1106;омола 1106;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;1.8
SR001106;епымуло 1106;омола 1106;ICE1-4001;басеис дедолемым и;P1-3030;басеис дедолемым и;0.7
SR001106;епымуло 1106;омола 1106;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;0.3
SR001106;епымуло 1106;омола 1106;ICE1-6001;тевмокоциа коцислийоу;P1-5010;тевмокоциа коцислийоу;9.3
SR001108;епымуло 1108;омола 1108;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;0
SR001111;епымуло 1111;омола 1111;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001111;епымуло 1111;омола 1111;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;0.3
SR001111;епымуло 1111;омола 1111;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001111;епымуло 1111;омола 1111;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.5
SR001111;епымуло 1111;омола 1111;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001111;епымуло 1111;омола 1111;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;7.5
SR001111;епымуло 1111;омола 1111;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;0.3
SR001111;епымуло 1111;омола 1111;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;3.4
SR001112;епымуло 1112;омола 1112;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001112;епымуло 1112;омола 1112;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR001112;епымуло 1112;омола 1112;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;1.8
SR001112;епымуло 1112;омола 1112;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.6
SR001112;епымуло 1112;омола 1112;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;10
SR001112;епымуло 1112;омола 1112;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;1.1
SR001112;епымуло 1112;омола 1112;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;3.4
SR001112;епымуло 1112;омола 1112;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;10
SR001112;епымуло 1112;омола 1112;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;2.4
SR001114;епымуло 1114;омола 1114;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001114;епымуло 1114;омола 1114;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR001114;епымуло 1114;омола 1114;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.1
SR001116;епымуло 1116;омола 1116;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;0.3
SR001116;епымуло 1116;омола 1116;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;1.8
SR001116;епымуло 1116;омола 1116;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;4.7
SR001116;епымуло 1116;омола 1116;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;0.3
SR001116;епымуло 1116;омола 1116;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;10
SR001116;епымуло 1116;омола 1116;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;10
SR001117;епымуло 1117;омола 1117;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001117;епымуло 1117;омола 1117;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;2.9
SR001120;епымуло 1120;омола 1120;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;3.5
SR001120;епымуло 1120;омола 1120;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001120;епымуло 1120;омола 1120;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;0.3
SR001120;епымуло 1120;омола 1120;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;1.1
SR001120;епымуло 1120;омола 1120;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;7.5
SR001120;епымуло 1120;омола 1120;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;4.1
SR001120;епымуло 1120;омола 1120;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;3.4
SR001121;епымуло 1121;омола 1121;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.4
SR001121;епымуло 1121;омола 1121;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;10
SR001121;епымуло 1121;омола 1121;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.5
SR001121;епымуло 1121;омола 1121;ICE1-3006;аявитейтомийг упокоцистым;P1-3060;аявитейтомийг упокоцистым;7.5
SR001121;епымуло 1121;омола 1121;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;0.3
SR001121;епымуло 1121;омола 1121;ICE1-8112;сведиасг паивмидиым & ежаялоцым еийомийгс & епаунглемгс пяацлатийотгтас;P1-9115;сведиаслос паивмидиым йаи ежаялоцым еийомийгс йаи епаунглемгс пяацлатийотгтас;8.6
SR001125;епымуло 1125;омола 1125;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001125;епымуло 1125;омола 1125;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001125;епымуло 1125;омола 1125;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;6.8
SR001125;епымуло 1125;омола 1125;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;7.5
SR001130;епымуло 1130;омола 1130;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001130;епымуло 1130;омола 1130;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;0.3
SR001133;епымуло 1133;омола 1133;ICE1-1006;жусийг;P1-1060;жусийг;10
SR001133;епымуло 1133;омола 1133;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR001133;епымуло 1133;омола 1133;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001133;епымуло 1133;омола 1133;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;10
SR001133;епымуло 1133;омола 1133;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;3.5
SR001133;епымуло 1133;омола 1133;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;1.8
SR001133;епымуло 1133;омола 1133;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;7.5
SR001133;епымуло 1133;омола 1133;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;10
SR001134;епымуло 1134;омола 1134;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;1.8
SR001134;епымуло 1134;омола 1134;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;0.3
SR001134;епымуло 1134;омола 1134;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;6.8
SR001134;епымуло 1134;омола 1134;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;0.3
SR001134;епымуло 1134;омола 1134;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;1.6
SR001134;епымуло 1134;омола 1134;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;1.1
SR001134;епымуло 1134;омола 1134;ICE1-7404;дийаио йаи йубеямогхийг;P1-9025;дийаио йаи йубеямогхийг;3.6
SR001135;епымуло 1135;омола 1135;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;6.8
SR001135;епымуло 1135;омола 1135;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR001135;епымуло 1135;омола 1135;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;1.1
SR001136;епымуло 1136;омола 1136;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;8.6
SR001136;епымуло 1136;омола 1136;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001136;епымуло 1136;омола 1136;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR001136;епымуло 1136;омола 1136;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;0.3
SR001136;епымуло 1136;омола 1136;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;3.4
SR001136;епымуло 1136;омола 1136;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;8.6
SR001136;епымуло 1136;омола 1136;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;8.6
SR001136;епымуло 1136;омола 1136;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;5.5
SR001136;епымуло 1136;омола 1136;ICE1-6001;тевмокоциа коцислийоу;P1-5010;тевмокоциа коцислийоу;8.6
SR001137;епымуло 1137;омола 1137;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;4.9
SR001137;епымуло 1137;омола 1137;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;1.1
SR001137;епымуло 1137;омола 1137;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;0.3
SR001137;епымуло 1137;омола 1137;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;4.2
SR001137;епымуло 1137;омола 1137;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;5.3
SR001137;епымуло 1137;омола 1137;ICE1-6006;ьгжиайес епийоимымиес;P1-5320;ьгжиайес епийоимымиес;10
SR001137;епымуло 1137;омола 1137;ICE1-7110;пкгяожояиайа сустглата диоийгсгс;P1-9170;пкгяожояиайа сустглата диоийгсгс;1.8
SR001138;епымуло 1138;омола 1138;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001138;епымуло 1138;омола 1138;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001138;епымуло 1138;омола 1138;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;8.5
SR001138;епымуло 1138;омола 1138;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001138;епымуло 1138;омола 1138;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR001138;епымуло 1138;омола 1138;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;7.5
SR001138;епымуло 1138;омола 1138;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;8.6
SR001138;епымуло 1138;омола 1138;ICE1-7305;дийтуа оптийым епийоимымиым;P1-9315;дийтуа оптийым епийоимымиым;7.5
SR001139;епымуло 1139;омола 1139;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001139;епымуло 1139;омола 1139;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;7.5
SR001139;епымуло 1139;омола 1139;ICE1-7206;паяаккгка сустглата;P1-9220;паяаккгка сустглата;10
SR001139;епымуло 1139;омола 1139;ICE1-7208;сведиасг окойкгяылемым йуйкылатым VLSI;P1-9250;сведиасг окойкгяылемым йуйкылатым VLSI;7.5
SR001139;епымуло 1139;омола 1139;ICE1-8303;асуялата дийтуа аисхгтгяым;P1-9320;асуялата дийтуа аисхгтгяым;10
SR001141;епымуло 1141;омола 1141;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR001141;епымуло 1141;омола 1141;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR001141;епымуло 1141;омола 1141;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001141;епымуло 1141;омола 1141;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;7.5
SR001141;епымуло 1141;омола 1141;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;1.8
SR001141;епымуло 1141;омола 1141;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;10
SR001141;епымуло 1141;омола 1141;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;8.6
SR001142;епымуло 1142;омола 1142;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001142;епымуло 1142;омола 1142;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001142;епымуло 1142;омола 1142;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;1.8
